datetime,temperature_c,humidity_pct,wind_speed_kmh,month,day_of_week,hour,is_weekend,is_holiday,energy_consumption_kwh
2022-01-01 00:00:00,1.3,80.3,18.6,1,5,0,1,1,208.77
2022-01-01 01:00:00,0.2,85.7,4.8,1,5,1,1,1,213.78
2022-01-01 02:00:00,2.3,72.0,5.4,1,5,2,1,1,157.44
2022-01-01 03:00:00,4.8,91.1,5.1,1,5,3,1,1,157.64
2022-01-01 04:00:00,2.4,62.4,3.8,1,5,4,1,1,171.35
2022-01-01 05:00:00,3.6,89.9,6.6,1,5,5,1,1,190.24
2022-01-01 06:00:00,8.5,75.4,6.5,1,5,6,1,1,129.04
2022-01-01 07:00:00,8.2,83.9,6.2,1,5,7,1,1,174.32
2022-01-01 08:00:00,6.9,79.5,21.8,1,5,8,1,1,181.8
2022-01-01 09:00:00,10.0,77.8,5.3,1,5,9,1,1,142.6
2022-01-01 10:00:00,8.7,80.1,2.2,1,5,10,1,1,173.55
2022-01-01 11:00:00,9.2,81.9,3.6,1,5,11,1,1,169.24
2022-01-01 12:00:00,10.8,72.0,12.2,1,5,12,1,1,160.04
2022-01-01 13:00:00,6.3,,9.1,1,5,13,1,1,161.83
2022-01-01 14:00:00,6.2,68.2,26.2,1,5,14,1,1,157.27
2022-01-01 15:00:00,7.7,76.1,11.5,1,5,15,1,1,167.46
2022-01-01 16:00:00,5.8,83.8,3.7,1,5,16,1,1,178.34
2022-01-01 17:00:00,7.3,84.3,3.0,1,5,17,1,1,143.33
2022-01-01 18:00:00,3.5,81.9,7.9,1,5,18,1,1,202.9
2022-01-01 19:00:00,1.2,76.2,10.8,1,5,19,1,1,254.38
2022-01-01 20:00:00,5.8,84.3,3.4,1,5,20,1,1,221.16
2022-01-01 21:00:00,1.3,74.0,9.4,1,5,21,1,1,205.72
2022-01-01 22:00:00,1.1,93.4,18.0,1,5,22,1,1,235.11
2022-01-01 23:00:00,-2.3,80.5,12.4,1,5,23,1,1,273.32
2022-01-02 00:00:00,-0.7,68.0,10.7,1,6,0,1,0,255.46
2022-01-02 01:00:00,0.8,70.1,14.5,1,6,1,1,0,234.02
2022-01-02 02:00:00,-1.2,81.0,2.9,1,6,2,1,0,281.21
2022-01-02 03:00:00,2.6,79.8,3.8,1,6,3,1,0,205.49
2022-01-02 04:00:00,1.7,94.9,2.3,1,6,4,1,0,227.73
2022-01-02 05:00:00,3.5,69.9,3.3,1,6,5,1,0,189.91
2022-01-02 06:00:00,4.2,78.2,21.6,1,6,6,1,0,190.08
2022-01-02 07:00:00,10.4,66.3,4.0,1,6,7,1,0,163.66
2022-01-02 08:00:00,7.9,72.1,10.7,1,6,8,1,0,206.34
2022-01-02 09:00:00,6.8,90.1,11.4,1,6,9,1,0,204.05
2022-01-02 10:00:00,11.4,65.2,10.3,1,6,10,1,0,201.18
2022-01-02 11:00:00,7.8,80.8,8.5,1,6,11,1,0,190.66
2022-01-02 12:00:00,10.8,77.7,7.3,1,6,12,1,0,188.79
2022-01-02 13:00:00,6.3,76.7,6.4,1,6,13,1,0,209.56
2022-01-02 14:00:00,7.1,80.6,21.9,1,6,14,1,0,187.39
2022-01-02 15:00:00,9.3,66.1,2.1,1,6,15,1,0,186.84
2022-01-02 16:00:00,9.4,88.6,2.4,1,6,16,1,0,169.87
2022-01-02 17:00:00,7.0,91.9,7.4,1,6,17,1,0,195.97
2022-01-02 18:00:00,5.2,77.8,5.2,1,6,18,1,0,211.48
2022-01-02 19:00:00,,97.6,6.2,1,6,19,1,0,257.26
2022-01-02 20:00:00,-0.1,76.8,50.0,1,6,20,1,0,268.01
2022-01-02 21:00:00,0.4,83.0,13.9,1,6,21,1,0,292.57
2022-01-02 22:00:00,0.1,91.4,18.8,1,6,22,1,0,277.58
2022-01-02 23:00:00,2.7,75.0,5.7,1,6,23,1,0,246.37
2022-01-03 00:00:00,1.1,68.4,4.2,1,0,0,0,0,252.79
2022-01-03 01:00:00,-2.9,68.6,13.7,1,0,1,0,0,297.77
2022-01-03 02:00:00,1.8,95.6,15.2,1,0,2,0,0,267.98
2022-01-03 03:00:00,1.1,75.2,8.4,1,0,3,0,0,222.0
2022-01-03 04:00:00,1.6,77.7,20.1,1,0,4,0,0,207.45
2022-01-03 05:00:00,5.4,68.4,29.4,1,0,5,0,0,208.65
2022-01-03 06:00:00,7.5,83.8,7.1,1,0,6,0,0,193.92
2022-01-03 07:00:00,8.6,69.4,4.0,1,0,7,0,0,184.98
2022-01-03 08:00:00,6.3,72.9,7.8,1,0,8,0,0,240.15
2022-01-03 09:00:00,8.4,78.2,38.5,1,0,9,0,0,196.88
2022-01-03 10:00:00,10.4,66.3,4.8,1,0,10,0,0,238.93
2022-01-03 11:00:00,12.2,72.5,9.7,1,0,11,0,0,204.57
2022-01-03 12:00:00,9.5,86.5,11.5,1,0,12,0,0,209.5
2022-01-03 13:00:00,9.9,78.5,3.9,1,0,13,0,0,190.64
2022-01-03 14:00:00,7.6,77.3,9.1,1,0,14,0,0,213.44
2022-01-03 15:00:00,6.6,78.4,5.0,1,0,15,0,0,194.58
2022-01-03 16:00:00,9.6,72.1,17.4,1,0,16,0,0,155.25
2022-01-03 17:00:00,9.5,91.2,12.0,1,0,17,0,0,185.43
